id,title,content,news_datetime,source,create_time,content_hash,relevance
18339,【三星部分Galaxy Watch型号新增血压监测功能】新浪财经4月1日讯，三星电子正为其可穿戴设备引入血压监测功能，允许部分Galaxy Watch用户通过手...,【三星部分Galaxy Watch型号新增血压监测功能】新浪财经4月1日讯，三星电子正为其可穿戴设备引入血压监测功能，允许部分Galaxy Watch用户通过手腕追踪血压。该功能定于周三（4月1日）发布。该工具将推送到 Galaxy Watch 4 及更新型号，用户必须下载“三星健康监测（Samsung Health Monitor）”应用程序，并使用第三方袖带式血压计完成初始校准。该功能需要使用第三方血压计进行初始校准，且每28天需重新校准一次以维持准确性；该功能不适用于疾病或其他状况的诊断。,2026-04-01 00:29:19,新浪财经,2026-04-01 00:30:12,c42b58214f8161b7243b6eff9779e849,
18330,巴拉圭经济部长辞职。,巴拉圭经济部长辞职。,2026-04-01 00:24:20,新浪财经,2026-04-01 00:25:19,923f0e9f59a786c647f52e4e7d3a2827,False
18327,欧洲柴油期货有望在3月份累涨81%，单月涨幅创纪录，因中东战争扰乱了供应。,欧洲柴油期货有望在3月份累涨81%，单月涨幅创纪录，因中东战争扰乱了供应。,2026-04-01 00:23:09,华尔街见闻,2026-04-01 00:23:48,0981958f6cc018ff8c4bc22001cc8380,True
18331,受中东战争扰乱供应影响，欧洲柴油基准期货3 月有望实现 81%的月度涨幅，创下历史纪录,受中东战争扰乱供应影响，欧洲柴油基准期货3 月有望实现 81%的月度涨幅，创下历史纪录,2026-04-01 00:22:47,新浪财经,2026-04-01 00:25:19,50699f4743540d2ed97f4d941c0f99ed,True
18328,以军称过去一天打击伊朗20处武器生产及研发设施,3月31日，以色列国防军发表声明称，过去一天，以色列空军对伊朗境内20处武器生产设施及研发场所实施打击。以军称，在当天早间的一轮空袭行动中，以空军战机向多个目标投下约80枚炸弹，其中包括用于生产弹道导弹发动机“关键部件”的设施、进行导弹发动机试验的场所，以及一处防空系统生产基地。（央视）,2026-04-01 00:22:36,华尔街见闻,2026-04-01 00:23:48,a0f36dee82cad800c72efcfc2afe028f,True
18332,【以军称过去一天打击伊朗20处武器生产及研发设施】新浪财经4月1日讯，当地时间3月31日，以色列国防军发表声明称，过去一天，以色列空军对伊朗境内20处武器生产设...,【以军称过去一天打击伊朗20处武器生产及研发设施】新浪财经4月1日讯，当地时间3月31日，以色列国防军发表声明称，过去一天，以色列空军对伊朗境内20处武器生产设施及研发场所实施打击。以军称，在当天早间的一轮空袭行动中，以空军战机向多个目标投下约80枚炸弹，其中包括用于生产弹道导弹发动机“关键部件”的设施、进行导弹发动机试验的场所，以及一处防空系统生产基地。以军此前表示，计划在次日完成对伊朗军事生产体系中所有“关键”资产的打击。（央视新闻）,2026-04-01 00:21:42,新浪财经,2026-04-01 00:25:19,f8b88361503cf142e87ca3fc507c8398,True
18333,【德国两年期国债收益率3月份涨超61个基点】新浪财经4月1日讯，周二（3月31日）欧市尾盘，德国10年期国债收益率跌3.1个基点，报3.004%，3月份累计上涨...,【德国两年期国债收益率3月份涨超61个基点】新浪财经4月1日讯，周二（3月31日）欧市尾盘，德国10年期国债收益率跌3.1个基点，报3.004%，3月份累计上涨36.1个基点，整体持续走高，3月27日欧市早盘曾达到3.129%，一季度累计上涨14.9个基点，2月28日欧股收盘时跌至2.643个基点，随后持续反弹。两年期德债收益率跌0.4个基点，报2.616%，3月份累涨61.2个基点，一季度累涨49.5个基点。30年期德债收益率跌4.6个基点，报3.457%，3月份累涨14.3个基点。2/10年期德债收益率利差跌2.536个基点，报+38.489个基点，3月份累跌25.204个基点，一季度累跌34.658个基点。,2026-04-01 00:20:47,新浪财经,2026-04-01 00:25:19,8de9f95a011d1e1c200e0752a9324503,True
18326,德国两年期国债收益率3月份涨超61个基点,"周二（3月31日）欧市尾盘，德国10年期国债收益率跌3.1个基点，报3.004%，3月份累计上涨36.1个基点，整体持续走高，3月27日欧市早盘曾达到3.129%，一季度累计上涨14.9个基点，2月28日欧股收盘时跌至2.643个基点，随后持续反弹。

两年期德债收益率跌0.4个基点，报2.616%，3月份累涨61.2个基点，一季度累涨49.5个基点。

30年期德债收益率跌4.6个基点，报3.457%，3月份累涨14.3个基点。

2/10年期德债收益率利差跌2.536个基点，报+38.489个基点，3月份累跌25.204个基点，一季度累跌34.658个基点。",2026-04-01 00:20:44,华尔街见闻,2026-04-01 00:21:53,db9f2f81feec167e84b3f80599f3e087,True
18334,美国能源信息署（EIA）：1 月份美国馏分油需求量为402.5 万桶 / 日，同比下降1.0%，减少3.9 万桶 / 日（12 月为同比增长 1.8%）。,美国能源信息署（EIA）：1 月份美国馏分油需求量为402.5 万桶 / 日，同比下降1.0%，减少3.9 万桶 / 日（12 月为同比增长 1.8%）。,2026-04-01 00:20:10,新浪财经,2026-04-01 00:25:19,6af25ce32220a2064f86711d247c2ac2,False
18323,美国能源信息署《石油供应月报》：1 月份美国石油总需求为2065 万桶 / 日，同比下降0.4%，即减少8.6 万桶 / 日（12 月为同比上升 1.1%）。,美国能源信息署《石油供应月报》：1 月份美国石油总需求为2065 万桶 / 日，同比下降0.4%，即减少8.6 万桶 / 日（12 月为同比上升 1.1%）。,2026-04-01 00:20:01,新浪财经,2026-04-01 00:20:21,ec9e4d7ce2c1715bdb91e6a29ed0d8ef,False
18324,美国能源信息署（EIA）：1 月美国汽油需求为825.8 万桶 / 日，同比下降2.7%，即减少22.5 万桶 / 日（12 月为同比上升 0.1%）。,美国能源信息署（EIA）：1 月美国汽油需求为825.8 万桶 / 日，同比下降2.7%，即减少22.5 万桶 / 日（12 月为同比上升 0.1%）。,2026-04-01 00:19:46,新浪财经,2026-04-01 00:20:21,4495498d4c0e02fb0deee3d7792986fc,False
18325,巴里克矿业（Barrick Mining Corp.）组建新的领导层集团，从而追求将旗下北美运营部门IPO。,巴里克矿业（Barrick Mining Corp.）组建新的领导层集团，从而追求将旗下北美运营部门IPO。,2026-04-01 00:18:57,新浪财经,2026-04-01 00:20:21,e68098dd02d185240a5a2d6d8843c5ec,False
18335,【联合国秘书长强烈谴责对联黎部队维和人员袭击事件】新浪财经4月1日讯，当地时间3月31日，联合国秘书长古特雷斯发表声明，强烈谴责导致联合国驻黎巴嫩临时部队（联黎...,【联合国秘书长强烈谴责对联黎部队维和人员袭击事件】新浪财经4月1日讯，当地时间3月31日，联合国秘书长古特雷斯发表声明，强烈谴责导致联合国驻黎巴嫩临时部队（联黎部队）维和人员身亡的袭击事件。他向遇难维和人员的家属、朋友和同事，以及印度尼西亚共和国表示最深切的哀悼，并祝愿受伤的维和人员早日康复。声明指出，针对维和人员的袭击必须停止，这类行为严重违反国际人道法和安理会第1701号决议，并可能构成战争罪，必须追究责任。古特雷斯强烈敦促各方遵守国际法义务，确保联合国人员和财产的安全；敦促各方立即降级局势，并全面遵守安理会第1701号决议所规定的义务。古特雷斯对所有在联黎部队服役的士兵表示最深切的感谢，并重申保障其安全与行动自由的重要性。（央视新闻）,2026-04-01 00:18:02,新浪财经,2026-04-01 00:25:19,fe883d7108b25a2e2b78a397e0062066,
18336,伊朗总统佩泽希齐扬：伊朗在会谈期间两次遭到袭击，这证明美国不相信外交手段。,伊朗总统佩泽希齐扬：伊朗在会谈期间两次遭到袭击，这证明美国不相信外交手段。,2026-04-01 00:17:12,新浪财经,2026-04-01 00:25:19,efc042963a6a085b921a7a05d40c2c4a,
18329,"巴里克矿业（Barrick Mining Corp.）组建新的领导层集团，从而追求将旗下北美运营部门IPO。

新的高管层将负责监督管理巴里克在美国内华达州与多...","巴里克矿业（Barrick Mining Corp.）组建新的领导层集团，从而追求将旗下北美运营部门IPO。

新的高管层将负责监督管理巴里克在美国内华达州与多米尼加共和国的矿业和总体七个运营部门。",2026-04-01 00:17:07,华尔街见闻,2026-04-01 00:25:19,ff24af7dfea144889784ca0230971bd6,
18337,谷歌：自 4 月 7 日起下调 Veo 3.1 Fast 版本定价 。,谷歌：自 4 月 7 日起下调 Veo 3.1 Fast 版本定价 。,2026-04-01 00:15:35,新浪财经,2026-04-01 00:25:19,9d72145c994f6a9180f533f684eb8843,
18338,谷歌： 推出 Veo 3.1 Lite 版本，将视频模型成本降低 50%。,谷歌： 推出 Veo 3.1 Lite 版本，将视频模型成本降低 50%。,2026-04-01 00:15:22,新浪财经,2026-04-01 00:25:19,2eea48081c9d9a7f7e14870c02a47ff9,
18302,以色列方面报道称：美国向中东派遣了两架EA-37B电子战飞机。这两架飞机昨天从美国起飞，并在英国经停。,以色列方面报道称：美国向中东派遣了两架EA-37B电子战飞机。这两架飞机昨天从美国起飞，并在英国经停。,2026-04-01 00:12:34,新浪财经,2026-04-01 00:19:54,f92b4a8157a242ad38ebabace4028704,
18303,欧盟外交与安全政策高级代表卡拉斯：（就匈牙利与俄罗斯通话泄露事件） 欧洲各国部长应当为欧洲效力，而非为俄罗斯服务。,欧盟外交与安全政策高级代表卡拉斯：（就匈牙利与俄罗斯通话泄露事件） 欧洲各国部长应当为欧洲效力，而非为俄罗斯服务。,2026-04-01 00:11:32,新浪财经,2026-04-01 00:19:54,c6747fd9040e3cd03c2fc5711c7b150e,
18304,古巴外交部：俄罗斯油轮抵达古巴港口，我们对俄罗斯政府和人民的声援与支持表示感谢。在美国实施能源封锁、企图扼制古巴民众生存的当下，这批宝贵援助及时抵达。,古巴外交部：俄罗斯油轮抵达古巴港口，我们对俄罗斯政府和人民的声援与支持表示感谢。在美国实施能源封锁、企图扼制古巴民众生存的当下，这批宝贵援助及时抵达。,2026-04-01 00:11:00,新浪财经,2026-04-01 00:19:54,a401e7c6ba962e688a62864164e0b36b,
18298,高盛认为，其对 2026 年铝全年均价3200 美元的最新预测（此前为 3100 美元）仍存在上行风险,高盛认为，其对 2026 年铝全年均价3200 美元的最新预测（此前为 3100 美元）仍存在上行风险,2026-04-01 00:09:47,新浪财经,2026-04-01 00:11:09,89554e8595b2dce6bc41d30b1875482e,
18305,高盛预计，2026 年全球原铝市场将出现57 万吨的供应缺口（此前预期为55 万吨的供应过剩）。,高盛预计，2026 年全球原铝市场将出现57 万吨的供应缺口（此前预期为55 万吨的供应过剩）。,2026-04-01 00:09:22,新浪财经,2026-04-01 00:19:54,cfbd6e5bdc777706788066635a6df425,
18306,美国农业部报告发布后，芝加哥期货交易所（CBOT）小麦期货延续涨势。,美国农业部报告发布后，芝加哥期货交易所（CBOT）小麦期货延续涨势。,2026-04-01 00:09:06,新浪财经,2026-04-01 00:19:54,1de8cae0fe92a495090611460d41c9f1,
18299,"高盛将2026年第二季度LME铝价预测上调至3450美元，此前为3200美元。

2026年全球原铝市场将出现57万吨的缺口，此前预计为55万吨的过剩。","高盛将2026年第二季度LME铝价预测上调至3450美元，此前为3200美元。

2026年全球原铝市场将出现57万吨的缺口，此前预计为55万吨的过剩。",2026-04-01 00:09:02,华尔街见闻,2026-04-01 00:19:54,6a1bcea0f00541bc61e42e1d6999a102,
18307,高盛小幅上调 2027 年铝均价预测至2750 美元（此前预测为 2700 美元）。,高盛小幅上调 2027 年铝均价预测至2750 美元（此前预测为 2700 美元）。,2026-04-01 00:08:43,新浪财经,2026-04-01 00:19:54,13ef714c3a119f49120ca687e829649e,
18308,欧盟能源专员：我们坚持禁止购买俄罗斯天然气的决定。,欧盟能源专员：我们坚持禁止购买俄罗斯天然气的决定。,2026-04-01 00:08:18,新浪财经,2026-04-01 00:19:54,3e1ff535b25d94e5b2678eff690455cd,
18309,美国能源信息署（EIA）：1 月份美国天然气液（NGL）产量减少 38.7 万桶 / 日，至 721.3 万桶 / 日（12 月为 760 万桶 / 日）。,美国能源信息署（EIA）：1 月份美国天然气液（NGL）产量减少 38.7 万桶 / 日，至 721.3 万桶 / 日（12 月为 760 万桶 / 日）。,2026-04-01 00:08:04,新浪财经,2026-04-01 00:19:54,8c65a6ed8737a5f5b5b38a3ea86b6b52,
18300,印尼推出一系列节能措施 应对中东局势影响,"3月31日，印度尼西亚经济统筹部长艾尔朗加·哈尔塔托表示，由于中东局势持续动荡，全球不确定性加剧，印尼将推出一系列节能措施，以减少燃油消耗，增强经济韧性。

艾尔朗加在当天举行的新闻发布会上说，从4月1日开始，印尼中央及地方政府机构公务人员每周将居家办公一天，推动能源节约与出行效率提升，同时保持经济稳定。",2026-04-01 00:07:44,华尔街见闻,2026-04-01 00:19:54,b26b0fb143f4883f34f3426820bd1628,
18310,高盛将 2026 年第二季度伦敦金属交易所（LME）铝价预测上调至3450 美元（此前预测为 3200 美元，当前期货价格为 3450 美元）。,高盛将 2026 年第二季度伦敦金属交易所（LME）铝价预测上调至3450 美元（此前预测为 3200 美元，当前期货价格为 3450 美元）。,2026-04-01 00:07:44,新浪财经,2026-04-01 00:19:54,7bdf200ade5b2ba8b5c164cc1eb32c82,
18311,伊朗证实其总统与欧洲理事会主席科斯塔通了电话。,伊朗证实其总统与欧洲理事会主席科斯塔通了电话。,2026-04-01 00:06:06,新浪财经,2026-04-01 00:19:54,e8aa0026e1abaa47ad07ae5d12993050,
